Num;ID;Energy_kcal;Protein_g;Fat_g;Carb_g;Sugar_g;Fiber_g;VitA_mcg;VitB6_mg;VitB12_mcg;VitC_mg;VitE_mg;Folate_mcg;Niacin_mg;Riboflavin_mg;Thiamin_mg;Calcium_mg;Copper_mcg;Iron_mg;Magnesium_mg;Manganese_mg;Phosphorus_mg;Selenium_mcg;Zinc_mg;VitA_USRDA;VitB6_USRDA;VitB12_USRDA;VitC_USRDA;VitE_USRDA;Folate_USRDA;Niacin_USRDA;Riboflavin_USRDA;Thiamin_USRDA;Calcium_USRDA;Copper_USRDA;Magnesium_USRDA;Phosphorus_USRDA;Selenium_USRDA;Zinc_USRDA
38;1038;387;31.8;26.94;3.63;0.73;0;96;0.085;1.12;0;0.23;7;0.077;0.37;0.037;1064;0.03;0.77;41;0.02;760;14.5;2.58;0.106666666666667;0.05;0.466666666666667;0;0.0153333333333333;0.0175;0.0048125;0.284615384615385;0.0308333333333333;0.886666666666667;3,33E+09;0.0976190476190476;108.571.428.571.429;0.263636363636364;0.234545454545455
2920;11104;72;1.53;0.15;17.34;2.9;3.3;0;0.24;0;3;0.38;23;0.3;0.03;0.01;41;0.077;0.8;38;0.232;51;0.7;0.33;0;0.141176470588235;0;0.0333333333333333;0.0253333333333333;0.0575;0.01875;0.0230769230769231;0.00833333333333333;0.0341666666666667;8,56E+09;0.0904761904761905;0.0728571428571429;0.0127272727272727;0.03
234;2003;233;22.98;4.07;47.75;1.71;37.7;37;1.34;0;0.8;10.7;310;4.9;1.2;0.08;2240;2.1;89.8;711;9.8;274;3;7.1;0.0411111111111111;0.788235294117647;0;0.00888888888888889;0.713333333333333;0.775;0.30625;0.923076923076923;0.0666666666666667;186.666.666.666.667;0.00233333333333333;169.285.714.285.714;0.391428571428571;0.0545454545454545;0.645454545454545
4925;16272;41;7.5;1.1;0.3;0;0;96;0;2.42;0;5.26;0;0;0;0;394;0;0.87;0;0;203;0;0;0.106666666666667;0;100.833.333.333.333;0;0.350666666666667;0;0;0;0;0.328333333333333;0;0;0.29;0;0
70;1077;61;3.15;3.25;4.8;5.05;0;46;0.036;0.45;0;0.07;5;0.089;0.169;0.046;113;0.025;0.03;10;0.004;84;3.7;0.37;0.0511111111111111;0.0211764705882353;0.1875;0;0.00466666666666667;0.0125;0.0055625;0.13;0.0383333333333333;0.0941666666666667;2,78E+09;0.0238095238095238;0.12;0.0672727272727273;0.0336363636363636
714;4610;717;0.16;80.71;0.7;0;0;819;0.009;0.1;0.2;9;1;0.023;0.037;0.01;3;0;0.06;3;0;5;0;0;0.91;0.00529411764705882;0.0416666666666667;0.00222222222222222;0.6;0.0025;0.0014375;0.0284615384615385;0.00833333333333333;0.0025;0;0.00714285714285714;0.00714285714285714;0;0
8006;28271;463;7.2;15.7;74.3;22.3;1.9;0;0.03;0;0;0;0;4.1;0.34;0.54;0;0;3.3;15;0;75;0;0.5;0;0.0176470588235294;0;0;0;0;0.25625;0.261538461538462;0.45;0;0;0.0357142857142857;0.107142857142857;0;0.0454545454545455
3776;13020;680;10.65;70.33;0;0;0;0;0.14;0.9;0;0;0;1.528;0.046;0.03;19;0.04;1.08;6;0;64;8.3;1.24;0;0.0823529411764706;0.375;0;0;0;0.0955;0.0353846153846154;0.025;0.0158333333333333;4,44E+09;0.0142857142857143;0.0914285714285714;0.150909090909091;0.112727272727273
7737;27060;50;1.16;0.51;10.28;2.78;1.1;56;0.07;0;0.7;0.18;0;0.61;0.1;0.05;25;0.046;0.4;12;0.089;28;0;0.24;0.0622222222222222;0.0411764705882353;0;0.00777777777777778;0.012;0;0.038125;0.0769230769230769;0.0416666666666667;0.0208333333333333;5,11E+09;0.0285714285714286;0.04;0;0.0218181818181818
6882;21411;282;15.95;14.07;22.99;2.97;0.2;83;0.132;1.27;0;0.55;73;3.355;0.255;0.236;93;0.337;2.06;22;0.188;204;25.1;2.21;0.0922222222222222;0.0776470588235294;0.529166666666667;0;0.0366666666666667;0.1825;0.2096875;0.196153846153846;0.196666666666667;0.0775;0.000374444444444444;0.0523809523809524;0.291428571428571;0.456363636363636;0.200909090909091
4814;16101;343;21.7;1.49;62.78;0;15;1;0.283;0;0;0;456;2.965;0.187;0.643;130;1.057;5.23;183;1.791;367;8.2;2.76;0.00111111111111111;0.166470588235294;0;0;0;1.14;0.1853125;0.143846153846154;0.535833333333333;0.108333333333333;0.00117444444444444;0.435714285714286;0.524285714285714;0.149090909090909;0.250909090909091
8091;32018;363;10.62;1.62;76.45;3.83;3.1;23;0.248;0;0;0.86;0;7.179;0.288;0.822;29;0.19;3.32;37;0.79;146;33.1;1.03;0.0255555555555556;0.145882352941176;0;0;0.0573333333333333;0;0.4486875;0.221538461538462;0.685;0.0241666666666667;0.000211111111111111;0.0880952380952381;0.208571428571429;0.601818181818182;0.0936363636363636
